id,Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
15593,Tune Time,Episode 80,36.34,Music,49.83,Wednesday,Night,,2.0,Neutral,24.25844
15594,Sports Central,Episode 83,49.67,Sports,55.82,Monday,Afternoon,14.64,1.0,Negative,38.45183
15595,Healthy Living,Episode 34,46.17,Health,97.41,Wednesday,Evening,19.52,3.0,Neutral,19.14217
15596,Business Briefs,Episode 42,75.62,Business,29.67,Monday,Afternoon,,3.0,Positive,59.92065
15597,Wellness Wave,Episode 47,107.88,Health,77.0,Friday,Morning,,0.0,Negative,105.91022
15598,Finance Focus,Episode 23,87.27,Business,79.95,Saturday,Evening,39.82,2.0,Positive,60.09823
15599,Brain Boost,Episode 89,40.73,Education,57.63,Tuesday,Morning,90.84,0.0,Negative,31.21333
15600,Healthy Living,Episode 23,,Health,40.79,Friday,Night,76.33,3.0,Neutral,54.79601
15601,Daily Digest,Episode 82,104.74,News,72.71,Thursday,Evening,,3.0,Neutral,62.63008
15602,Game Day,Episode 3,89.12,Sports,20.93,Friday,Afternoon,2.41,0.0,Positive,75.94716
15603,Mystery Matters,Episode 68,34.0,True Crime,70.29,Monday,Morning,56.71,3.0,Positive,27.12
15604,Sport Spot,Episode 26,21.82,Sports,21.42,Thursday,Evening,23.18,2.0,Positive,7.4194
15605,Sports Weekly,Episode 2,,Sports,26.79,Monday,Night,26.79,1.0,Neutral,59.75208
15606,Lifestyle Lounge,Episode 35,75.81,Lifestyle,70.32,Monday,Afternoon,33.88,3.0,Positive,41.88349
15607,Humor Hub,Episode 17,83.09,Comedy,67.85,Tuesday,Afternoon,87.95,0.0,Neutral,67.73216
15608,Sound Waves,Episode 100,,Music,33.72,Thursday,Evening,33.9,3.0,Positive,79.65411
15609,Comedy Corner,Episode 95,34.51,Comedy,56.9,Sunday,Afternoon,53.04,3.0,Negative,16.31
15610,Sport Spot,Episode 56,37.5,Sports,94.54,Thursday,Afternoon,13.64,0.0,Negative,34.33334
15611,Fitness First,Episode 32,21.41,Health,79.67,Thursday,Morning,98.68,2.0,Neutral,10.03803
15612,Finance Focus,Episode 65,62.73,Business,79.39,Thursday,Morning,82.25,0.0,Positive,42.6827
15613,Sport Spot,Episode 91,25.4,Sports,39.02,Monday,Afternoon,3.13,0.0,Positive,22.5355
15614,Tech Trends,Episode 96,64.0,Technology,34.42,Tuesday,Afternoon,,0.0,Negative,45.88803
15615,True Crime Stories,Episode 30,59.36,True Crime,40.72,Wednesday,Morning,80.02,2.0,Neutral,47.28906
15616,Criminal Minds,Episode 96,70.67,True Crime,74.06,Friday,Evening,74.06,0.0,Positive,55.00656
15617,Home & Living,Episode 14,81.77,Lifestyle,47.69,Saturday,Night,87.69,0.0,Negative,72.22009
15618,Tune Time,Episode 60,81.13,Music,88.18,Wednesday,Evening,79.27,3.0,Positive,49.31241
15619,Tech Talks,Episode 92,39.36,Technology,29.0,Saturday,Afternoon,47.8,0.0,Neutral,34.78222
15620,Money Matters,Episode 52,51.95,Business,53.72,Friday,Morning,99.88,0.0,Positive,47.67164
15621,Market Masters,Episode 29,11.63,Business,49.87,Sunday,Evening,16.11,1.0,Neutral,0.0
15622,Money Matters,Episode 73,56.81,Business,71.29,Saturday,Night,63.29,1.0,Neutral,43.6583
15623,Fitness First,Episode 40,34.11,Health,36.95,Monday,Night,14.32,1.0,Positive,29.61178
15624,Joke Junction,Episode 81,12.13,Comedy,46.68,Saturday,Evening,3.45,0.0,Positive,4.54686
15625,Fashion Forward,Episode 72,,Lifestyle,93.06,Thursday,Evening,23.69,1.0,Positive,9.42215
15626,Business Insights,Episode 90,82.2,Business,75.74,Thursday,Afternoon,62.82,1.0,Neutral,68.38
15627,Business Briefs,Episode 5,,Business,68.83,Friday,Afternoon,32.83,3.0,Positive,63.49479
15628,Game Day,Episode 82,,Sports,23.56,Sunday,Morning,28.83,3.0,Neutral,83.53269
15629,Innovators,Episode 22,41.24,Technology,93.1,Saturday,Afternoon,,3.0,Neutral,29.55534
15630,Lifestyle Lounge,Episode 47,116.3,Lifestyle,60.7,Friday,Night,64.3,0.0,Negative,72.74196
15631,Innovators,Episode 69,99.76,Technology,28.74,Tuesday,Afternoon,44.56,0.0,Positive,55.93989
15632,Digital Digest,Episode 80,94.97,Technology,34.26,Saturday,Morning,10.23,0.0,Neutral,94.71887
15633,Health Hour,Episode 52,101.89,Health,46.27,Monday,Morning,4.81,2.0,Neutral,88.008
15634,Sports Weekly,Episode 3,101.11,Sports,57.23,Sunday,Evening,91.25,2.0,Negative,69.4631
15635,Market Masters,Episode 29,30.4,Business,78.69,Wednesday,Afternoon,99.31,1.0,Negative,8.42
15636,Innovators,Episode 75,16.68,Technology,63.77,Wednesday,Morning,,2.0,Positive,7.35397
15637,Criminal Minds,Episode 49,104.98,True Crime,62.62,Saturday,Evening,74.03,3.0,Neutral,58.71
15638,Healthy Living,Episode 72,21.46,Health,56.72,Sunday,Evening,,1.0,Negative,9.16
15639,Tech Talks,Episode 82,81.11,Technology,57.07,Tuesday,Night,9.79,0.0,Negative,44.60713
15640,Tech Talks,Episode 86,94.31,Technology,69.82,Tuesday,Night,15.63,2.0,Negative,67.2464
15641,Learning Lab,Episode 56,100.88,Education,82.23,Monday,Afternoon,73.78,3.0,Positive,47.14963
15642,Educational Nuggets,Episode 88,96.17,Education,68.64,Saturday,Evening,,3.0,Neutral,76.2667
15643,Tech Talks,Episode 84,,Technology,25.65,Thursday,Morning,50.48,2.0,Neutral,14.66
15644,Business Insights,Episode 68,40.72,Business,83.9,Friday,Night,,0.0,Negative,31.1402
15645,Fitness First,Episode 1,34.77,Health,27.57,Monday,Morning,91.92,1.0,Positive,19.59
15646,Educational Nuggets,Episode 73,62.24,Education,49.32,Monday,Evening,24.04,3.0,Positive,50.32252
15647,Lifestyle Lounge,Episode 98,90.67,Lifestyle,72.72,Thursday,Evening,28.96,1.0,Neutral,71.21
15648,Wellness Wave,Episode 36,96.99,Health,35.84,Tuesday,Night,86.96,2.0,Neutral,78.60454
15649,Tune Time,Episode 33,72.29,Music,86.73,Wednesday,Morning,93.97,2.0,Positive,60.82813
15650,Mind & Body,Episode 27,96.54,Health,27.8,Saturday,Evening,60.4,0.0,Negative,77.80428
15651,True Crime Stories,Episode 36,13.2,True Crime,96.54,Tuesday,Afternoon,86.24,0.0,Negative,8.73982
15652,Market Masters,Episode 2,80.44,Business,60.77,Wednesday,Night,99.39,2.0,Negative,47.161
15653,Comedy Corner,Episode 19,65.57,Comedy,89.33,Friday,Evening,17.72,0.0,Positive,62.65169
15654,Lifestyle Lounge,Episode 73,49.26,Lifestyle,57.54,Monday,Afternoon,37.78,3.0,Positive,18.24302
15655,Digital Digest,Episode 3,21.43,Technology,86.94,Sunday,Night,29.21,1.0,Positive,8.8
15656,Health Hour,Episode 19,,Health,45.56,Sunday,Evening,16.36,2.0,Neutral,9.38799
15657,Mystery Matters,Episode 5,32.05,True Crime,64.49,Wednesday,Night,13.97,2.0,Positive,18.76204
15658,Tech Trends,Episode 2,110.76,Technology,40.82,Sunday,Night,82.06,0.0,Positive,63.33459
15659,Tech Talks,Episode 63,81.22,Technology,68.26,Thursday,Morning,59.17,2.0,Negative,38.95683
15660,Sport Spot,Episode 23,56.95,Sports,77.61,Wednesday,Morning,,2.0,Positive,39.90274
15661,Fitness First,Episode 34,,Health,34.16,Thursday,Afternoon,38.13,3.0,Neutral,19.07796
15662,Laugh Line,Episode 97,24.64,Comedy,26.91,Sunday,Evening,,1.0,Negative,15.18183
15663,Sound Waves,Episode 33,10.01,Music,94.99,Friday,Night,,1.0,Neutral,3.20849
15664,Detective Diaries,Episode 55,,True Crime,49.37,Thursday,Afternoon,28.02,1.0,Negative,54.64601
15665,Mind & Body,Episode 12,67.17,Health,80.76,Monday,Night,46.91,2.0,Neutral,43.10758
15666,Sound Waves,Episode 76,107.29,Music,79.03,Thursday,Morning,81.02,2.0,Positive,46.22646
15667,Mind & Body,Episode 26,,Health,66.51,Monday,Morning,,1.0,Positive,22.17479
15668,Business Insights,Episode 52,106.52,Business,26.49,Saturday,Morning,7.42,0.0,Neutral,64.60682
15669,Global News,Episode 10,41.06,News,59.43,Monday,Evening,52.83,2.0,Positive,33.75809
15670,Style Guide,Episode 36,45.08,Lifestyle,49.55,Thursday,Evening,84.48,3.0,Neutral,38.48631
15671,Fashion Forward,Episode 99,33.3,Lifestyle,31.57,Sunday,Afternoon,73.62,0.0,Positive,24.82294
15672,Fitness First,Episode 55,38.9,Health,67.66,Tuesday,Morning,24.83,2.0,Neutral,32.06224
15673,Current Affairs,Episode 2,91.49,News,27.27,Wednesday,Morning,39.76,1.0,Negative,53.78717
15674,World Watch,Episode 72,22.35,News,79.53,Tuesday,Night,5.22,3.0,Positive,9.14155
15675,Fashion Forward,Episode 61,117.58,Lifestyle,57.31,Saturday,Night,39.31,1.0,Neutral,111.01904
15676,Gadget Geek,Episode 21,53.86,Technology,30.39,Friday,Night,63.71,3.0,Negative,44.22897
15677,Tech Talks,Episode 97,57.44,Technology,76.05,Wednesday,Afternoon,6.01,1.0,Negative,42.06011
15678,Comedy Corner,Episode 30,65.19,Comedy,47.0,Thursday,Morning,42.58,2.0,Positive,47.1482
15679,Tech Trends,Episode 58,49.06,Technology,90.89,Thursday,Evening,18.19,2.0,Negative,36.20764
15680,Game Day,Episode 18,95.67,Sports,21.51,Wednesday,Night,14.32,1.0,Positive,74.34771
15681,Daily Digest,Episode 84,28.77,News,42.68,Sunday,Evening,86.24,2.0,Positive,18.56915
15682,Sports Central,Episode 87,53.68,Sports,83.68,Friday,Morning,84.64,3.0,Neutral,18.08221
15683,Mind & Body,Episode 54,,Health,41.25,Monday,Afternoon,6.99,1.0,Neutral,25.44425
15684,Money Matters,Episode 29,,Business,77.36,Monday,Night,,2.0,Neutral,61.02285
15685,Lifestyle Lounge,Episode 11,39.67,Lifestyle,91.18,Saturday,Evening,13.82,1.0,Positive,27.59789
15686,Comedy Corner,Episode 40,64.34,Comedy,44.9,Friday,Evening,13.94,1.0,Negative,29.89868
15687,Study Sessions,Episode 38,111.07,Education,84.35,Thursday,Evening,,1.0,Positive,93.96657
15688,Gadget Geek,Episode 78,39.4,Technology,58.4,Sunday,Afternoon,13.44,0.0,Negative,33.25
15689,Life Lessons,Episode 69,60.62,Lifestyle,78.36,Wednesday,Night,9.52,0.0,Neutral,44.18943
15690,Melody Mix,Episode 19,25.67,Music,23.47,Thursday,Afternoon,69.9,3.0,Neutral,10.55
15691,Global News,Episode 84,95.32,News,73.89,Wednesday,Afternoon,43.6,0.0,Neutral,54.65014
15692,True Crime Stories,Episode 5,100.3,True Crime,20.76,Sunday,Morning,48.26,1.0,Neutral,83.20903
15693,Money Matters,Episode 24,25.16,Business,60.0,Sunday,Evening,78.2,3.0,Neutral,10.78689
15694,Money Matters,Episode 75,90.42,Business,51.58,Monday,Afternoon,81.33,2.0,Neutral,46.45864
15695,True Crime Stories,Episode 74,19.07,True Crime,69.65,Sunday,Night,65.92,0.0,Negative,18.4304
15696,Melody Mix,Episode 72,113.56,Music,36.37,Saturday,Night,57.37,3.0,Neutral,64.09469
15697,Humor Hub,Episode 63,35.82,Comedy,80.96,Thursday,Morning,58.31,1.0,Positive,13.46376
15698,Money Matters,Episode 73,26.23,Business,52.49,Sunday,Evening,38.49,2.0,Negative,20.43287
15699,Humor Hub,Episode 86,44.04,Comedy,26.53,Monday,Night,72.13,0.0,Neutral,25.98153
15700,Melody Mix,Episode 51,83.64,Music,96.4,Monday,Morning,32.3,2.0,Neutral,58.86
15701,Fashion Forward,Episode 54,23.98,Lifestyle,66.07,Thursday,Evening,43.46,0.0,Neutral,16.77129
15702,Athlete's Arena,Episode 27,88.39,Sports,76.98,Saturday,Afternoon,76.34,2.0,Negative,65.97992
15703,Wellness Wave,Episode 18,67.99,Health,26.66,Friday,Afternoon,81.7,3.0,Positive,43.12
15704,Daily Digest,Episode 55,106.52,News,97.16,Monday,Night,62.23,0.0,Neutral,65.09567
15705,Sports Weekly,Episode 47,31.56,Sports,73.58,Tuesday,Morning,95.32,0.0,Positive,21.82
15706,Market Masters,Episode 58,103.77,Business,46.0,Tuesday,Evening,,0.0,Negative,65.49816
15707,Mystery Matters,Episode 99,14.94,True Crime,79.53,Sunday,Night,52.17,3.0,Neutral,1.80262
15708,Tech Talks,Episode 33,,Technology,89.9,Saturday,Evening,89.15,0.0,Negative,67.03856
15709,Game Day,Episode 60,99.27,Sports,48.25,Thursday,Evening,40.12,1.0,Negative,56.90332
15710,Tune Time,Episode 82,38.2,Music,77.24,Monday,Morning,90.53,1.0,Neutral,19.47088
15711,Educational Nuggets,Episode 15,,Education,69.79,Saturday,Evening,95.61,3.0,Positive,54.01306
15712,Tech Talks,Episode 18,38.95,Technology,47.17,Tuesday,Morning,90.47,0.0,Neutral,26.77934
15713,Laugh Line,Episode 73,61.37,Comedy,59.67,Friday,Evening,84.97,0.0,Negative,50.04125
15714,Music Matters,Episode 13,79.13,Music,84.17,Thursday,Morning,56.87,2.0,Neutral,45.18273
15715,Melody Mix,Episode 100,13.82,Music,65.08,Monday,Evening,1.09,3.0,Neutral,7.65
15716,Mind & Body,Episode 93,74.32,Health,92.98,Tuesday,Afternoon,96.26,0.0,Negative,65.13583
15717,Comedy Corner,Episode 50,6.75,Comedy,50.74,Friday,Afternoon,97.67,1.0,Neutral,0.0
15718,Gadget Geek,Episode 64,29.02,Technology,44.52,Wednesday,Evening,93.44,0.0,Positive,15.82524
15719,Healthy Living,Episode 71,52.8,Health,48.68,Thursday,Morning,23.14,3.0,Neutral,29.60237
15720,Life Lessons,Episode 61,,Lifestyle,51.35,Wednesday,Night,76.24,0.0,Neutral,13.11603
15721,Home & Living,Episode 62,69.78,Lifestyle,73.03,Wednesday,Night,58.23,2.0,Neutral,51.0947
15722,Sport Spot,Episode 12,66.38,Sports,64.16,Saturday,Night,63.6,1.0,Positive,55.6089
15723,Market Masters,Episode 83,23.21,Business,90.69,Thursday,Night,8.5,1.0,Neutral,22.21936
15724,Funny Folks,Episode 14,87.34,Comedy,31.76,Monday,Night,96.83,1.0,Positive,59.79533
15725,Melody Mix,Episode 12,86.33,Music,74.97,Monday,Morning,41.29,3.0,Positive,36.1606
15726,Joke Junction,Episode 92,12.15,Comedy,22.26,Wednesday,Morning,61.91,2.0,Neutral,12.01522
15727,Learning Lab,Episode 33,111.06,Education,48.64,Sunday,Afternoon,21.51,0.0,Positive,76.08
15728,Laugh Line,Episode 72,92.95,Comedy,37.44,Tuesday,Morning,77.01,0.0,Positive,62.15101
15729,Digital Digest,Episode 85,76.42,Technology,48.27,Thursday,Afternoon,84.6,2.0,Neutral,71.43288
15730,Current Affairs,Episode 66,33.98,News,49.03,Friday,Night,75.27,2.0,Negative,16.90909
15731,Study Sessions,Episode 44,44.7,Education,75.04,Wednesday,Evening,82.29,1.0,Neutral,20.87964
15732,Fashion Forward,Episode 35,61.42,Lifestyle,39.41,Thursday,Evening,65.43,0.0,Negative,50.46112
15733,Wellness Wave,Episode 35,34.76,Health,66.41,Monday,Evening,,0.0,Neutral,17.34794
15734,Joke Junction,Episode 31,12.91,Comedy,62.81,Wednesday,Night,12.04,0.0,Positive,12.72617
15735,Mind & Body,Episode 16,53.21,Health,95.04,Friday,Morning,17.58,1.0,Negative,45.68521
15736,Sport Spot,Episode 98,73.09,Sports,62.18,Sunday,Afternoon,26.09,3.0,Negative,50.16262
15737,Style Guide,Episode 59,21.18,Lifestyle,78.98,Sunday,Morning,47.72,2.0,Negative,16.18794
15738,Life Lessons,Episode 69,116.53,Lifestyle,42.17,Monday,Night,27.26,3.0,Neutral,68.68444
15739,Tech Talks,Episode 31,116.74,Technology,74.19,Wednesday,Morning,28.38,1.0,Positive,113.24
15740,Sports Central,Episode 41,35.62,Sports,41.46,Monday,Evening,54.66,3.0,Positive,29.73075
15741,Funny Folks,Episode 28,10.33,Comedy,46.33,Wednesday,Night,64.79,3.0,Neutral,6.78
15742,Sport Spot,Episode 15,96.49,Sports,91.04,Thursday,Evening,,0.0,Positive,61.48278
15743,Fashion Forward,Episode 63,117.29,Lifestyle,53.1,Sunday,Afternoon,77.24,0.0,Positive,94.97179
15744,Study Sessions,Episode 16,90.48,Education,89.11,Thursday,Morning,,1.0,Positive,81.83049
15745,Learning Lab,Episode 4,,Education,69.49,Wednesday,Afternoon,47.67,1.0,Neutral,92.02029
15746,Criminal Minds,Episode 45,115.1,True Crime,41.74,Monday,Afternoon,56.6,0.0,Neutral,93.92143
15747,Learning Lab,Episode 79,57.04,Education,84.92,Thursday,Night,11.35,0.0,Neutral,28.55077
15748,Business Insights,Episode 64,54.83,Business,79.7,Sunday,Night,4.96,1.0,Neutral,45.82947
15749,Digital Digest,Episode 83,77.46,Technology,84.73,Wednesday,Night,47.62,1.0,Positive,75.90945
15750,Crime Chronicles,Episode 13,43.82,True Crime,75.12,Wednesday,Evening,,1.0,Negative,21.49162
15751,Mind & Body,Episode 30,38.68,Health,76.72,Wednesday,Evening,5.1,0.0,Negative,16.95922
15752,Educational Nuggets,Episode 35,51.81,Education,33.23,Monday,Morning,9.43,2.0,Neutral,33.23953
15753,Market Masters,Episode 42,62.72,Business,76.66,Tuesday,Evening,59.78,3.0,Negative,43.21391
15754,Criminal Minds,Episode 68,87.63,True Crime,37.22,Monday,Night,80.55,1.0,Negative,59.3
15755,Healthy Living,Episode 76,116.88,Health,96.16,Tuesday,Afternoon,,0.0,Positive,104.69461
15756,Style Guide,Episode 91,11.74,Lifestyle,45.52,Tuesday,Morning,62.13,3.0,Positive,9.77268
15757,Wellness Wave,Episode 22,37.94,Health,55.71,Saturday,Morning,52.12,0.0,Negative,19.92454
15758,True Crime Stories,Episode 77,27.83,True Crime,26.98,Monday,Night,12.76,2.0,Positive,11.91
15759,Lifestyle Lounge,Episode 24,19.23,Lifestyle,34.63,Monday,Evening,34.61,3.0,Neutral,15.54643
15760,Criminal Minds,Episode 90,16.1,True Crime,49.37,Friday,Evening,,3.0,Positive,4.80817
15761,Game Day,Episode 47,,Sports,38.73,Sunday,Morning,58.17,1.0,Negative,10.59
15762,Innovators,Episode 51,39.56,Technology,42.15,Sunday,Afternoon,12.37,0.0,Negative,23.87894
15763,Joke Junction,Episode 4,51.69,Comedy,92.71,Wednesday,Afternoon,,2.0,Neutral,36.01422
15764,Music Matters,Episode 4,74.03,Music,70.37,Wednesday,Afternoon,50.72,2.0,Negative,57.95038
15765,Money Matters,Episode 63,114.32,Business,88.12,Wednesday,Afternoon,71.73,3.0,Positive,103.95819
15766,Funny Folks,Episode 12,48.89,Comedy,90.82,Thursday,Evening,79.35,0.0,Positive,38.67851
15767,Sports Weekly,Episode 46,93.59,Sports,83.67,Thursday,Night,96.53,3.0,Positive,77.87532
15768,Healthy Living,Episode 53,94.2,Lifestyle,82.09,Friday,Night,73.39,0.0,Positive,64.54609
15769,Money Matters,Episode 72,95.58,Business,47.14,Tuesday,Morning,,3.0,Neutral,47.52147
15770,True Crime Stories,Episode 88,68.98,True Crime,83.14,Sunday,Night,42.38,1.0,Neutral,52.59122
15771,Wellness Wave,Episode 50,8.25,Health,52.78,Thursday,Night,,2.0,Negative,5.25863
15772,News Roundup,Episode 71,,News,26.3,Saturday,Evening,74.64,3.0,Negative,33.43113
15773,True Crime Stories,Episode 28,68.17,True Crime,27.68,Tuesday,Morning,45.52,3.0,Negative,38.11348
15774,Tune Time,Episode 73,10.18,Music,73.83,Monday,Night,51.37,3.0,Neutral,0.57846
15775,Crime Chronicles,Episode 85,97.3,True Crime,70.75,Saturday,Evening,55.45,0.0,Positive,50.51986
15776,Gadget Geek,Episode 33,63.5,Technology,64.07,Tuesday,Evening,,0.0,Negative,55.45168
15777,Finance Focus,Episode 82,97.86,Business,70.71,Thursday,Afternoon,5.73,1.0,Positive,95.05698
15778,Tune Time,Episode 86,28.05,Music,35.73,Thursday,Night,,3.0,Negative,19.99398
15779,Fitness First,Episode 68,67.88,Health,29.86,Friday,Night,50.59,0.0,Positive,39.06197
15780,Joke Junction,Episode 55,,Comedy,65.31,Sunday,Afternoon,85.14,1.0,Neutral,44.26574
15781,Game Day,Episode 48,,Sports,59.07,Sunday,Night,97.4,0.0,Positive,73.7542
15782,Tech Talks,Episode 8,42.19,Technology,85.73,Sunday,Afternoon,46.06,3.0,Neutral,27.96632
15783,Crime Chronicles,Episode 87,28.65,True Crime,76.51,Monday,Afternoon,23.27,0.0,Neutral,22.58562
15784,Melody Mix,Episode 66,83.66,Music,56.72,Tuesday,Evening,19.86,0.0,Negative,55.73773
15785,Fitness First,Episode 8,,Health,93.78,Thursday,Night,1.78,3.0,Positive,78.99272
15786,Gadget Geek,Episode 20,49.67,Technology,21.51,Sunday,Morning,23.14,2.0,Positive,26.5
15787,Tech Trends,Episode 49,,Technology,26.07,Thursday,Morning,68.73,0.0,Neutral,76.96
15788,Laugh Line,Episode 6,116.7,Comedy,71.37,Monday,Morning,93.73,0.0,Positive,98.29
15789,Tune Time,Episode 71,79.2,Music,67.71,Tuesday,Night,56.93,2.0,Positive,68.32548
15790,True Crime Stories,Episode 67,30.69,True Crime,49.67,Friday,Evening,31.57,1.0,Negative,22.74
15791,Lifestyle Lounge,Episode 55,71.71,Lifestyle,53.71,Thursday,Afternoon,,3.0,Neutral,49.16339
15792,Mind & Body,Episode 59,62.55,Health,56.29,Sunday,Afternoon,30.86,0.0,Positive,42.85353
15793,Fitness First,Episode 74,90.15,Health,29.65,Thursday,Evening,38.06,3.0,Neutral,50.52556
15794,News Roundup,Episode 83,98.46,News,61.75,Tuesday,Evening,,2.0,Positive,62.78025
15795,Mind & Body,Episode 53,104.98,Health,31.4,Monday,Morning,28.85,1.0,Neutral,62.6544
15796,Sports Weekly,Episode 64,18.49,Sports,49.9,Monday,Afternoon,69.71,2.0,Neutral,10.55684
15797,Gadget Geek,Episode 43,66.51,Technology,46.1,Tuesday,Morning,38.06,2.0,Neutral,30.32979
15798,Business Briefs,Episode 8,,Business,65.22,Tuesday,Evening,,3.0,Positive,46.7064
15799,Style Guide,Episode 53,48.37,Lifestyle,29.9,Monday,Night,31.82,3.0,Positive,39.9811
15800,Fitness First,Episode 86,31.42,Health,49.99,Tuesday,Evening,97.68,1.0,Positive,7.12
15801,Criminal Minds,Episode 9,68.09,True Crime,45.2,Tuesday,Afternoon,22.9,0.0,Neutral,63.77165
15802,Sports Weekly,Episode 61,32.57,Sports,66.68,Thursday,Morning,18.03,1.0,Neutral,24.62007
15803,Wellness Wave,Episode 69,55.06,Health,20.34,Monday,Night,9.69,0.0,Positive,44.35381
15804,Health Hour,Episode 15,56.45,Health,68.12,Monday,Evening,67.34,2.0,Neutral,43.79572
15805,Business Insights,Episode 39,94.09,Business,29.52,Friday,Afternoon,,1.0,Negative,55.98151
15806,Joke Junction,Episode 21,46.92,Comedy,92.2,Saturday,Evening,,0.0,Negative,39.39
15807,Fashion Forward,Episode 40,,Lifestyle,79.34,Friday,Afternoon,94.99,0.0,Negative,51.92726
15808,Digital Digest,Episode 21,,Technology,58.77,Thursday,Night,9.68,0.0,Neutral,28.31572
15809,Detective Diaries,Episode 39,63.33,True Crime,64.59,Sunday,Night,48.95,3.0,Negative,39.98673
15810,Joke Junction,Episode 55,116.37,Comedy,35.63,Tuesday,Night,78.84,0.0,Neutral,53.42689
15811,Sports Weekly,Episode 91,80.47,Sports,77.32,Thursday,Afternoon,,3.0,Negative,70.6308
15812,Business Briefs,Episode 23,63.87,Business,44.0,Monday,Afternoon,,2.0,Neutral,30.30778
15813,Tech Trends,Episode 24,,Technology,84.44,Tuesday,Night,,0.0,Positive,48.03862
15814,Detective Diaries,Episode 65,25.86,True Crime,97.81,Wednesday,Morning,,2.0,Neutral,14.51827
15815,Comedy Corner,Episode 95,86.64,Comedy,65.44,Wednesday,Night,55.06,2.0,Positive,66.99679
15816,Digital Digest,Episode 40,89.99,Technology,83.68,Tuesday,Morning,,0.0,Neutral,79.69073
15817,Market Masters,Episode 95,30.91,Business,37.11,Wednesday,Afternoon,71.64,3.0,Neutral,21.67473
15818,Funny Folks,Episode 73,95.77,Comedy,44.85,Thursday,Evening,64.74,2.0,Negative,75.52
15819,Fitness First,Episode 42,7.36,Health,76.39,Tuesday,Evening,13.19,2.0,Positive,0.25931
15820,Digital Digest,Episode 74,40.75,Technology,73.97,Friday,Morning,97.33,3.0,Positive,30.18
15821,Wellness Wave,Episode 86,9.55,Health,43.25,Sunday,Afternoon,77.64,1.0,Negative,1.22873
15822,Wellness Wave,Episode 22,19.62,Health,54.13,Wednesday,Night,54.51,3.0,Neutral,10.27393
15823,Home & Living,Episode 35,71.05,Lifestyle,73.44,Tuesday,Morning,48.69,0.0,Negative,60.17149
15824,Tech Trends,Episode 99,99.24,Technology,65.03,Tuesday,Morning,15.83,1.0,Negative,75.79442
15825,Gadget Geek,Episode 56,81.16,Technology,96.22,Friday,Night,,1.0,Neutral,70.45477
15826,True Crime Stories,Episode 99,29.43,True Crime,31.89,Thursday,Evening,12.41,0.0,Negative,25.56171
15827,Digital Digest,Episode 77,75.98,Technology,77.38,Wednesday,Morning,51.95,3.0,Negative,46.1701
15828,Healthy Living,Episode 15,54.59,Health,88.04,Tuesday,Evening,27.68,0.0,Positive,37.78194
15829,Wellness Wave,Episode 22,61.56,Health,94.83,Wednesday,Afternoon,49.02,1.0,Neutral,50.83187
15830,Mystery Matters,Episode 78,116.15,True Crime,29.27,Monday,Night,62.97,2.0,Positive,78.11129
15831,Daily Digest,Episode 70,107.82,News,63.54,Thursday,Evening,84.84,0.0,Negative,97.4525
15832,Life Lessons,Episode 62,35.73,Lifestyle,41.96,Friday,Night,59.63,0.0,Neutral,28.02712
15833,Learning Lab,Episode 48,52.16,Education,66.57,Wednesday,Evening,83.48,2.0,Negative,29.51293
15834,Business Insights,Episode 84,111.72,Business,81.24,Saturday,Afternoon,,1.0,Positive,84.43898
15835,Melody Mix,Episode 77,61.16,Music,43.01,Thursday,Evening,,3.0,Negative,40.14949
15836,Wellness Wave,Episode 74,,Health,54.68,Thursday,Afternoon,24.01,1.0,Positive,24.00653
15837,Lifestyle Lounge,Episode 29,117.81,Lifestyle,95.81,Sunday,Night,49.16,1.0,Neutral,94.99482
15838,Current Affairs,Episode 6,,News,90.78,Friday,Night,33.26,0.0,Neutral,67.52087
15839,Finance Focus,Episode 69,31.76,Business,60.15,Friday,Morning,99.98,0.0,Negative,11.85
15840,World Watch,Episode 92,,News,75.9,Saturday,Afternoon,89.06,0.0,Negative,29.85245
15841,Global News,Episode 69,28.32,News,97.81,Monday,Afternoon,66.28,2.0,Negative,17.51742
15842,Fitness First,Episode 46,39.32,Health,28.92,Saturday,Morning,0.72,0.0,Negative,26.87036
15843,Money Matters,Episode 52,113.19,Business,42.56,Monday,Night,3.52,1.0,Positive,69.19251
15844,Study Sessions,Episode 92,8.54,Education,92.73,Sunday,Evening,0.11,1.0,Negative,2.83512
15845,Joke Junction,Episode 22,19.74,Comedy,25.31,Tuesday,Morning,52.25,2.0,Negative,5.62394
15846,Criminal Minds,Episode 90,55.29,True Crime,49.88,Friday,Evening,4.96,1.0,Negative,44.95829
15847,Laugh Line,Episode 60,59.65,Comedy,77.7,Sunday,Night,39.45,0.0,Neutral,47.55588
15848,Detective Diaries,Episode 30,72.63,True Crime,98.99,Friday,Evening,71.35,0.0,Negative,51.62746
15849,Athlete's Arena,Episode 75,,Sports,98.81,Wednesday,Morning,74.15,1.0,Negative,84.53213
15850,Funny Folks,Episode 56,99.53,Comedy,52.34,Wednesday,Morning,,1.0,Negative,58.61765
